table with row headers in column A and column headers in rows 3 through 4 (leading dots indicate sub-parts),,,
".Mesa County, Colorado","158,531","159,681",0.73
".Mineral County, Colorado",931,944,1.40
".Moffat County, Colorado","13,205","13,327",0.92
".Montezuma County, Colorado","26,467","26,531",0.24
".Montrose County, Colorado","43,807","44,156",0.80
".Morgan County, Colorado","29,266","29,524",0.88
".Otero County, Colorado","18,311","18,136",-0.96
".Ouray County, Colorado","5,103","5,176",1.43
".Park County, Colorado","17,921","18,117",1.09
".Phillips County, Colorado","4,448","4,476",0.63
".Pitkin County, Colorado","16,847","16,640",-1.23
".Prowers County, Colorado","11,873","11,751",-1.03
".Pueblo County, Colorado","169,472","169,422",-0.03
".Rio Blanco County, Colorado","6,549","6,569",0.31
".Rio Grande County, Colorado","11,337","11,188",-1.31
".Routt County, Colorado","25,072","25,064",-0.03
".Saguache County, Colorado","6,627","6,688",0.92
".San Juan County, Colorado",806,802,-0.50
".San Miguel County, Colorado","8,008","7,868",-1.75
".Sedgwick County, Colorado","2,286","2,299",0.57
".Summit County, Colorado","30,636","30,465",-0.56
".Teller County, Colorado","24,860","24,617",-0.98
".Washington County, Colorado","4,847","4,855",0.17
".Weld County, Colorado","350,266","359,442",2.62
".Yuma County, Colorado","9,895","9,862",-0.33
".Capitol Planning Region, Connecticut","972,068","975,328",0.34
".Greater Bridgeport Planning Region, Connecticut","327,125","327,651",0.16
".Lower Connecticut River Valley Planning Region, Connecticut","175,982","176,215",0.13
".Naugatuck Valley Planning Region, Connecticut","453,590","456,128",0.56
".Northeastern Connecticut Planning Region, Connecticut","96,148","96,692",0.57
".Northwest Hills Planning Region, Connecticut","113,277","113,463",0.16
".South Central Connecticut Planning Region, Connecticut","568,402","568,158",-0.04
".Southeastern Connecticut Planning Region, Connecticut","279,257","279,634",0.14
".Western Connecticut Planning Region, Connecticut","622,857","623,907",0.17
".Kent County, Delaware","187,758","189,789",1.08
".New Castle County, Delaware","575,254","578,592",0.58
".Sussex County, Delaware","256,447","263,509",2.75
".District of Columbia, District of Columbia","670,949","678,972",1.20
".Alachua County, Florida","284,041","285,994",0.69
".Baker County, Florida","27,786","28,368",2.09
".Bay County, Florida","185,210","190,769",3.00
".Bradford County, Florida","27,296","27,858",2.06
".Brevard County, Florida","630,707","643,979",2.10
".Broward County, Florida","1,946,889","1,962,531",0.80
".Calhoun County, Florida","13,465","13,470",0.04
".Charlotte County, Florida","202,582","206,134",1.75
".Citrus County, Florida","162,508","166,696",2.58
".Clay County, Florida","226,634","232,439",2.56
".Collier County, Florida","397,516","404,310",1.71
".Columbia County, Florida","71,870","73,063",1.66
".DeSoto County, Florida","35,320","35,979",1.87
".Dixie County, Florida","17,120","17,465",2.02
".Duval County, Florida","1,017,011","1,030,822",1.36
