,state_abv,county,pct_diff
703,IN,Benton County,0.66
704,IN,Blackford County,-0.22
705,IN,Boone County,2.44
706,IN,Brown County,0.42
707,IN,Carroll County,0.05
708,IN,Cass County,0.34
709,IN,Clark County,1.00
710,IN,Clay County,0.19
711,IN,Clinton County,-0.12
712,IN,Crawford County,-0.75
713,IN,Daviess County,0.48
714,IN,Dearborn County,0.62
715,IN,Decatur County,-0.21
716,IN,DeKalb County,0.88
717,IN,Delaware County,0.14
718,IN,Dubois County,0.12
719,IN,Elkhart County,-0.22
720,IN,Fayette County,-0.12
721,IN,Floyd County,0.23
722,IN,Fountain County,0.67
723,IN,Franklin County,0.06
724,IN,Fulton County,-0.05
725,IN,Gibson County,-0.30
726,IN,Grant County,0.31
727,IN,Greene County,0.40
728,IN,Hamilton County,1.69
729,IN,Hancock County,3.67
730,IN,Harrison County,0.54
731,IN,Hendricks County,1.78
732,IN,Henry County,0.23
733,IN,Howard County,0.34
734,IN,Huntington County,-0.05
735,IN,Jackson County,0.50
736,IN,Jasper County,0.57
737,IN,Jay County,-0.43
738,IN,Jefferson County,0.36
739,IN,Jennings County,0.50
740,IN,Johnson County,1.29
741,IN,Knox County,0.54
742,IN,Kosciusko County,-0.25
743,IN,LaGrange County,0.13
744,IN,Lake County,0.19
745,IN,LaPorte County,-0.10
746,IN,Lawrence County,-0.32
747,IN,Madison County,0.85
748,IN,Marion County,-0.08
749,IN,Marshall County,-0.06
750,IN,Martin County,0.71
751,IN,Miami County,-0.41
752,IN,Monroe County,-0.20
753,IN,Montgomery County,0.66
754,IN,Morgan County,1.34
755,IN,Newton County,0.87
756,IN,Noble County,0.41
757,IN,Ohio County,-1.53
758,IN,Orange County,0.19
759,IN,Owen County,0.21
760,IN,Parke County,0.71
761,IN,Perry County,0.01
762,IN,Pike County,-0.30
763,IN,Porter County,0.28
764,IN,Posey County,-0.23
765,IN,Pulaski County,-0.51
766,IN,Putnam County,0.73
767,IN,Randolph County,-0.55
768,IN,Ripley County,0.68
769,IN,Rush County,1.05
770,IN,St. Joseph County,0.21
771,IN,Scott County,0.64
772,IN,Shelby County,0.09
773,IN,Spencer County,0.31
774,IN,Starke County,0.01
775,IN,Steuben County,0.42
776,IN,Sullivan County,0.42
777,IN,Switzerland County,0.10
778,IN,Tippecanoe County,0.29
779,IN,Tipton County,-0.45
780,IN,Union County,0.09
781,IN,Vanderburgh County,0.14
782,IN,Vermillion County,-0.10
783,IN,Vigo County,0.07
784,IN,Wabash County,-0.56
785,IN,Warren County,0.35
786,IN,Warrick County,0.97
787,IN,Washington County,0.12
788,IN,Wayne County,-0.13
789,IN,Wells County,0.91
790,IN,White County,1.04
791,IN,Whitley County,0.48
792,IA,Adair County,-0.91
793,IA,Adams County,-1.58
794,IA,Allamakee County,0.40
795,IA,Appanoose County,-0.18
796,IA,Audubon County,-0.74
797,IA,Benton County,0.21
798,IA,Black Hawk County,0.32
799,IA,Boone County,0.04
800,IA,Bremer County,0.21
801,IA,Buchanan County,0.01
802,IA,Buena Vista County,-0.37
803,IA,Butler County,-0.52
804,IA,Calhoun County,0.39
805,IA,Carroll County,-0.09
806,IA,Cass County,-0.05
807,IA,Cedar County,-0.28
808,IA,Cerro Gordo County,-0.05
809,IA,Cherokee County,1.00
810,IA,Chickasaw County,-0.60
811,IA,Clarke County,-0.57
812,IA,Clay County,0.02
813,IA,Clayton County,-0.52
814,IA,Clinton County,-0.21
815,IA,Crawford County,-0.72
816,IA,Dallas County,2.72
817,IA,Davis County,0.24
818,IA,Decatur County,-0.39
819,IA,Delaware County,-0.04
820,IA,Des Moines County,0.03
821,IA,Dickinson County,0.04
822,IA,Dubuque County,0.17
823,IA,Emmet County,0.16
824,IA,Fayette County,-0.29
825,IA,Floyd County,-0.14
826,IA,Franklin County,-0.71
827,IA,Fremont County,-0.26
828,IA,Greene County,-1.45
829,IA,Grundy County,0.23
830,IA,Guthrie County,0.38
831,IA,Hamilton County,-0.50
832,IA,Hancock County,-0.34
833,IA,Hardin County,-0.91
834,IA,Harrison County,-0.07
835,IA,Henry County,-3.49
836,IA,Howard County,-1.40
837,IA,Humboldt County,-0.22
838,IA,Ida County,-1.04
839,IA,Iowa County,-0.70
840,IA,Jackson County,-0.02
841,IA,Jasper County,-0.08
842,IA,Jefferson County,-1.46
843,IA,Johnson County,0.39
844,IA,Jones County,-0.23
845,IA,Keokuk County,0.31
846,IA,Kossuth County,-0.48
847,IA,Lee County,-0.80
848,IA,Linn County,0.01
849,IA,Louisa County,-0.98
850,IA,Lucas County,0.52
851,IA,Lyon County,1.21
852,IA,Madison County,-0.40
853,IA,Mahaska County,-0.44
854,IA,Marion County,0.42
855,IA,Marshall County,0.48
856,IA,Mills County,0.67
857,IA,Mitchell County,-0.25
858,IA,Monona County,-0.15
859,IA,Monroe County,-0.35
860,IA,Montgomery County,-0.70
861,IA,Muscatine County,-0.42
862,IA,O'Brien County,-0.52
863,IA,Osceola County,-1.55
864,IA,Page County,-1.07
865,IA,Palo Alto County,0.23
866,IA,Plymouth County,0.00
867,IA,Pocahontas County,-1.37
868,IA,Polk County,0.81
869,IA,Pottawattamie County,0.12
870,IA,Poweshiek County,-0.35
871,IA,Ringgold County,-0.98
872,IA,Sac County,-0.03
873,IA,Scott County,0.30
874,IA,Shelby County,0.81
875,IA,Sioux County,0.33
876,IA,Story County,0.31
877,IA,Tama County,-0.65
878,IA,Taylor County,0.83
879,IA,Union County,0.03
880,IA,Van Buren County,0.19
881,IA,Wapello County,0.24
882,IA,Warren County,1.66
883,IA,Washington County,0.08
884,IA,Wayne County,1.03
885,IA,Webster County,-0.46
886,IA,Winnebago County,-0.64
887,IA,Winneshiek County,-0.44
