,state_abv,county,housing_yearly,food_yearly,transportation_yearly,healthcare_yearly,misc_yearly,childcare_yearly,taxes_yearly,median_family_income,pct_diff,pct_diff_binary
93,AL,Walker County,9717.6,9837.6,17277.6,15063.6,6924.0,9777.6,10189.2,68810.0,0.45,0
94,AL,Washington County,11046.0,9544.8,19192.8,14197.2,7290.0,10632.0,11180.4,75492.0,-0.48,1
95,AL,Wilcox County,11127.6,9865.2,18045.6,14427.6,7431.6,9926.4,10851.6,46269.0,-1.92,1
96,AL,Winston County,9765.6,9144.0,18039.6,14427.6,6694.8,10903.2,10324.8,61537.0,-0.55,1
97,AR,Arkansas County,9402.0,9634.8,17373.6,13800.0,6739.2,7672.8,8568.0,71861.0,-1.16,1
98,AR,Ashley County,9090.0,9315.6,18576.0,13800.0,6517.2,7672.8,8654.4,60030.0,-0.47,1
99,AR,Baxter County,9962.4,10328.4,16693.2,13800.0,7184.4,7672.8,8901.6,59981.0,0.92,0
100,AR,Benton County,13658.4,10414.8,18247.2,14078.4,8521.2,10267.2,12242.4,97168.0,2.7,0
101,AR,Boone County,9726.0,9837.6,17215.2,13800.0,6927.6,7672.8,8778.0,66617.0,0.65,0
102,AR,Bradley County,9608.4,9691.2,18192.0,13800.0,6832.8,7672.8,8974.8,60497.0,-0.63,1
103,AR,Calhoun County,10110.0,9544.8,19678.8,13800.0,6961.2,7672.8,9589.2,65800.0,-0.98,1
104,AR,Carroll County,8972.4,9720.0,18135.6,13800.0,6619.2,7672.8,8661.6,68994.0,0.34,0
105,AR,Chicot County,9448.8,9720.0,17053.2,13800.0,6787.2,7672.8,8557.2,53495.0,-3.01,1
106,AR,Clark County,9702.0,9807.6,17563.2,13800.0,6908.4,7672.8,8859.6,66543.0,-0.01,1
107,AR,Clay County,9165.6,8737.2,17677.2,13800.0,6338.4,7672.8,8173.2,59157.0,-0.49,1
108,AR,Cleburne County,9698.4,10009.2,18397.2,13800.0,6979.2,7672.8,9219.6,64091.0,0.76,0
109,AR,Cleveland County,8650.8,9837.6,18999.6,14078.4,6546.0,10267.2,9850.8,72857.0,-1.19,1
110,AR,Columbia County,9391.2,9748.8,17846.4,13800.0,6776.4,7672.8,8794.8,58889.0,-0.61,1
111,AR,Conway County,9568.8,9230.4,17862.0,13800.0,6657.6,7672.8,8649.6,61839.0,0.27,0
112,AR,Craighead County,10726.8,9807.6,16298.4,14078.4,7270.8,10267.2,9890.4,72208.0,1.0,0
113,AR,Crawford County,10428.0,9488.4,17803.2,14078.4,7051.2,10267.2,10137.6,66704.0,1.39,0
114,AR,Crittenden County,10360.8,9544.8,16588.8,14078.4,7047.6,10267.2,9700.8,60037.0,0.19,0
115,AR,Cross County,9848.4,8997.6,17306.4,13800.0,6674.4,7672.8,8493.6,61332.0,-1.02,1
116,AR,Dallas County,9669.6,9517.2,17917.2,13800.0,6795.6,7672.8,8844.0,71923.0,-0.18,1
117,AR,Desha County,9481.2,9691.2,17367.6,13800.0,6788.4,7672.8,8653.2,50040.0,-2.59,1
118,AR,Drew County,9508.8,9748.8,17584.8,13800.0,6816.0,7672.8,8730.0,63163.0,0.2,0
119,AR,Faulkner County,11680.8,10009.2,17706.0,14078.4,7682.4,10267.2,10926.0,79614.0,1.87,0
120,AR,Franklin County,9116.4,9055.2,17970.0,14078.4,6433.2,7869.6,8505.6,67408.0,1.15,0
121,AR,Fulton County,9489.6,9403.2,17858.4,13800.0,6687.6,7672.8,8701.2,50833.0,0.53,0
122,AR,Garland County,11024.4,10098.0,16436.4,14078.4,7478.4,10267.2,10226.4,68326.0,-0.2,1
123,AR,Grant County,10255.2,10300.8,19543.2,14078.4,7278.0,10267.2,11010.0,85655.0,1.4,0
124,AR,Greene County,10068.0,9170.4,17791.2,13800.0,6811.2,7672.8,8822.4,63750.0,0.72,0
125,AR,Hempstead County,9866.4,9256.8,18039.6,13800.0,6771.6,7672.8,8826.0,60161.0,-0.71,1
126,AR,Hot Spring County,9518.4,9373.2,17558.4,13800.0,6688.8,7672.8,8586.0,63503.0,0.33,0
127,AR,Howard County,8952.0,9230.4,17786.4,13800.0,6435.6,7672.8,8316.0,56071.0,-0.71,1
128,AR,Independence County,9360.0,9373.2,17775.6,13800.0,6632.4,7672.8,8571.6,62620.0,0.17,0
129,AR,Izard County,9264.0,10240.8,18075.6,13800.0,6907.2,7672.8,9031.2,58294.0,1.0,0
130,AR,Jackson County,8964.0,9433.2,17193.6,13800.0,6511.2,7672.8,8228.4,57354.0,0.78,0
131,AR,Jefferson County,10555.2,9634.8,15882.0,14078.4,7144.8,10267.2,9596.4,63405.0,-0.99,1
132,AR,Johnson County,9482.4,9286.8,17934.0,13800.0,6645.6,7672.8,8648.4,52822.0,0.61,0
133,AR,Lafayette County,8964.0,9837.6,18607.2,13800.0,6657.6,7672.8,8858.4,58338.0,-0.55,1
134,AR,Lawrence County,9352.8,9950.4,17666.4,13800.0,6836.4,7672.8,8799.6,57787.0,0.77,0
135,AR,Lee County,9669.6,8824.8,17214.0,13800.0,6546.0,7672.8,8328.0,50338.0,-1.98,1
136,AR,Lincoln County,7741.2,9720.0,18301.2,14078.4,6182.4,10267.2,9166.8,64237.0,-0.09,1
137,AR,Little River County,9674.4,9895.2,18001.2,14078.4,6927.6,10267.2,10064.4,76776.0,-0.51,1
138,AR,Logan County,9609.6,9055.2,18288.0,13800.0,6609.6,7672.8,8738.4,64891.0,0.67,0
139,AR,Lonoke County,11781.6,9865.2,19039.2,14078.4,7663.2,10267.2,11352.0,83730.0,0.99,0
140,AR,Madison County,8967.6,9865.2,20178.0,14078.4,6667.2,10267.2,10490.4,59823.0,1.79,0
141,AR,Marion County,9076.8,10357.2,17859.6,13800.0,6880.8,7672.8,8902.8,53983.0,1.3,0
142,AR,Miller County,11149.2,10126.8,16771.2,14078.4,7530.0,10267.2,10406.4,61391.0,-0.45,1
143,AR,Mississippi County,9403.2,9114.0,16740.0,13800.0,6556.8,7672.8,8157.6,62701.0,-0.51,1
144,AR,Monroe County,9225.6,8737.2,17626.8,13800.0,6360.0,7672.8,8198.4,67631.0,-0.85,1
145,AR,Montgomery County,9633.6,10240.8,18620.4,13800.0,7038.0,7672.8,9392.4,56905.0,0.9,0
146,AR,Nevada County,10249.2,9170.4,17938.8,13800.0,6874.8,7672.8,8906.4,47059.0,-0.72,1
147,AR,Newton County,9072.0,9837.6,19166.4,13800.0,6694.8,7672.8,9099.6,66066.0,-0.42,1
148,AR,Ouachita County,9588.0,9544.8,17706.0,13800.0,6775.2,7672.8,8716.8,62302.0,-0.91,1
149,AR,Perry County,8971.2,9345.6,19634.4,14078.4,6484.8,10267.2,10022.4,67529.0,1.1,0
150,AR,Phillips County,9678.0,9517.2,16370.4,13800.0,6798.0,7672.8,8368.8,50951.0,-2.53,1
151,AR,Pike County,9309.6,9837.6,18934.8,13800.0,6780.0,7672.8,9142.8,65119.0,0.48,0
152,AR,Poinsett County,9045.6,8794.8,17152.8,14078.4,6316.8,10267.2,8935.2,56293.0,-0.25,1
153,AR,Polk County,9345.6,9574.8,18014.4,13800.0,6700.8,7672.8,8726.4,60528.0,0.53,0
154,AR,Pope County,10036.8,9488.4,17238.0,13800.0,6913.2,7672.8,8766.0,64117.0,0.84,0
155,AR,Prairie County,9328.8,9921.6,18046.8,13800.0,6817.2,7672.8,8880.0,76988.0,-0.51,1
156,AR,Pulaski County,12499.2,10443.6,15973.2,14078.4,8124.0,10267.2,10922.4,79879.0,0.16,0
157,AR,Randolph County,9673.2,9144.0,17792.4,13800.0,6663.6,7672.8,8612.4,59380.0,0.29,0
158,AR,Saline County,12050.4,10213.2,18412.8,14078.4,7882.8,10267.2,11424.0,89404.0,1.69,0
159,AR,Scott County,9132.0,9055.2,18675.6,13800.0,6439.2,7672.8,8614.8,61206.0,0.56,0
160,AR,Searcy County,9223.2,10328.4,18439.2,13800.0,6922.8,7672.8,9146.4,52830.0,-1.26,1
161,AR,Sebastian County,10668.0,9720.0,15704.4,14078.4,7218.0,10267.2,9648.0,67102.0,-0.01,1
162,AR,Sevier County,9440.4,9777.6,18727.2,13800.0,6805.2,7672.8,9110.4,59400.0,-0.67,1
163,AR,Sharp County,8990.4,9403.2,17373.6,13800.0,6511.2,7672.8,8284.8,55625.0,0.74,0
164,AR,St. Francis County,9741.6,8997.6,16119.6,13800.0,6636.0,7672.8,8059.2,47612.0,-1.34,1
165,AR,Stone County,9669.6,9979.2,18056.4,13800.0,6957.6,7672.8,9102.0,51894.0,0.68,0
166,AR,Union County,10329.6,9691.2,17462.4,13800.0,7088.4,7672.8,9067.2,64484.0,-1.1,1
167,AR,Van Buren County,8931.6,9979.2,17971.2,13800.0,6696.0,7672.8,8715.6,59654.0,0.24,0
168,AR,Washington County,11790.0,10560.0,16647.6,14078.4,7914.0,10267.2,10923.6,79154.0,1.9,0
169,AR,White County,9656.4,9459.6,17655.6,13800.0,6770.4,7672.8,8722.8,64231.0,1.08,0
170,AR,Woodruff County,9324.0,9488.4,17860.8,13800.0,6660.0,7672.8,8649.6,63850.0,-1.54,1
171,AR,Yell County,9418.8,9055.2,18457.2,13800.0,6540.0,7672.8,8678.4,64475.0,-0.23,1
172,AZ,Apache County,11943.6,10560.0,18589.2,20346.0,7966.8,11707.2,12103.2,46534.0,-0.76,1
173,AZ,Cochise County,13005.6,9807.6,17088.0,15945.6,8074.8,11707.2,10404.0,73643.0,-0.67,1
174,AZ,Coconino County,20269.2,11458.8,18333.6,17701.2,11233.2,13692.0,15968.4,86862.0,0.17,0
175,AZ,Gila County,14560.8,10270.8,17444.4,13360.8,8792.4,10348.8,10084.8,64786.0,0.15,0
176,AZ,Graham County,13957.2,10066.8,18782.4,15810.0,8506.8,9367.2,10608.0,71035.0,1.81,0
177,AZ,Greenlee County,11943.6,10066.8,19765.2,15810.0,7792.8,9367.2,10002.0,78172.0,0.45,0
178,AZ,La Paz County,14816.4,10357.2,17338.8,20572.8,8911.2,7024.8,11408.4,58960.0,1.06,0
179,AZ,Maricopa County,23323.2,10384.8,16082.4,12164.4,11934.0,15031.2,14743.2,94672.0,0.66,0
180,AZ,Mohave County,13999.2,10357.2,16510.8,20480.4,8623.2,11599.2,12295.2,64283.0,1.26,0
181,AZ,Navajo County,13202.4,10213.2,17792.4,20346.0,8289.6,11707.2,12230.4,58541.0,0.34,0
182,AZ,Pima County,15670.8,10357.2,15831.6,11670.0,9216.0,13790.4,10718.4,82620.0,0.54,0
183,AZ,Pinal County,20902.8,9921.6,18556.8,12630.0,10915.2,12568.8,13538.4,80809.0,4.13,0
184,AZ,Santa Cruz County,11847.6,8679.6,17986.8,12196.8,7267.2,9367.2,7819.2,59444.0,0.98,0
185,AZ,Yavapai County,16918.8,11023.2,17643.6,19755.6,9892.8,13692.0,14796.0,78461.0,1.16,0
186,AZ,Yuma County,14367.6,9286.8,15805.2,20114.4,8374.8,11599.2,11624.4,61867.0,2.08,0
187,CA,Alameda County,30892.8,12932.4,17509.2,16278.0,15517.2,24962.4,27406.8,149535.0,-0.37,1
188,CA,Alpine County,15219.6,11515.2,22251.6,18739.2,9466.8,14469.6,16432.8,114625.0,-4.12,1
189,CA,Amador County,16322.4,13077.6,20457.6,15796.8,10410.0,14164.8,15752.4,95970.0,0.77,0
190,CA,Butte County,16600.8,11718.0,16712.4,18873.6,10026.0,16219.2,15829.2,85990.0,-0.09,1
191,CA,Calaveras County,15705.6,12816.0,21271.2,18739.2,10095.6,14229.6,16886.4,89134.0,0.02,0
192,CA,Colusa County,12934.8,10531.2,19489.2,18739.2,8307.6,14152.8,13255.2,80746.0,0.58,0
193,CA,Contra Costa County,31166.4,12874.8,18758.4,15930.0,15591.6,23827.2,27416.4,139078.0,-0.17,1
194,CA,Del Norte County,13680.0,11109.6,17449.2,18739.2,8778.0,14152.8,13203.6,74548.0,-1.93,1
195,CA,El Dorado County,22627.2,13857.6,19914.0,15930.0,12919.2,18439.2,21258.0,122465.0,-0.3,1
196,CA,Fresno County,16929.6,10414.8,16612.8,12403.2,9680.4,16387.2,12620.4,76092.0,0.18,0
197,CA,Glenn County,12613.2,10240.8,18692.4,18739.2,8091.6,14164.8,12625.2,75654.0,-0.81,1
198,CA,Humboldt County,15810.0,13192.8,16977.6,18739.2,10268.4,15218.4,15848.4,80244.0,-0.71,1
199,CA,Imperial County,15264.0,9114.0,18369.6,15188.4,8631.6,13682.4,11674.8,60776.0,0.07,0
200,CA,Inyo County,15278.4,10472.4,19171.2,19718.4,9116.4,15230.4,15247.2,80504.0,-1.15,1
201,CA,Kern County,15292.8,10328.4,17796.0,12441.6,9068.4,16154.4,12132.0,71065.0,-0.32,1
202,CA,Kings County,17436.0,10300.8,17580.0,12403.2,9822.0,14803.2,12536.4,72111.0,-0.2,1
203,CA,Lake County,14894.4,12728.4,17786.4,18739.2,9781.2,14145.6,14961.6,77378.0,-0.43,1
204,CA,Lassen County,12960.0,12180.0,19850.4,18739.2,8901.6,14148.0,14422.8,69158.0,-3.86,1
205,CA,Los Angeles County,28465.2,11224.8,16352.4,11199.6,14053.2,20769.6,20623.2,93675.0,-0.58,1
206,CA,Madera County,16929.6,12208.8,19113.6,12403.2,10318.8,15708.0,14359.2,79066.0,1.58,0
207,CA,Marin County,39870.0,15217.2,19384.8,16182.0,19506.0,25989.6,35427.6,185883.0,-0.68,1
208,CA,Mariposa County,14600.4,12208.8,19682.4,14413.2,9492.0,14176.8,13513.2,71667.0,-0.79,1
209,CA,Mendocino County,17494.8,12007.2,18174.0,18739.2,10444.8,14037.6,16053.6,79466.0,-1.0,1
210,CA,Merced County,16693.2,10704.0,17738.4,16569.6,9699.6,14563.2,14030.4,70798.0,0.59,0
211,CA,Modoc County,10766.4,12180.0,20493.6,18739.2,8122.8,14148.0,13370.4,61250.0,-1.38,1
212,CA,Mono County,18746.4,12295.2,21501.6,19718.4,10992.0,19552.8,20904.0,99721.0,0.49,0
213,CA,Monterey County,36199.2,11397.6,19543.2,15002.4,16852.8,17772.0,26739.6,97004.0,-0.5,1
214,CA,Napa County,31338.0,13568.4,19586.4,16182.0,15898.8,21134.4,27272.4,122540.0,-0.86,1
215,CA,Nevada County,18639.6,14929.2,19417.2,18739.2,11884.8,14882.4,19149.6,100889.0,-0.36,1
216,CA,Orange County,33600.0,11544.0,18373.2,13654.8,15984.0,21727.2,25926.0,124132.0,-0.46,1
